Account
@josh@sciences.social (Josh Braun, University of Massachusetts Amherst)
@bethanyklein@assemblag.es (Bethany Klein)
@krikowi@sciences.social (Netzwerk Kritische Kommunikationswissenschaft, KriKoWi)
@Andreas_Hepp@sciences.social (Andreas Hepp, ZeMKI, University of Bremen)
@leifkramp@sciences.social (Leif Kramp, ZeMKI, University of Bremen)
@zemki@sciences.social (ZeMKI, University of Bremen)
@JulieLuepkes@sciences.social (Julie Lüpkes, ZeMKI, University of Bremen)
@patrick_zerrer@sciences.social (Patrick Zerrer, ZeMKI, University of Bremen)
@hen_drik@hci.social (Hendrik Heuer, ZeMKI, University of Bremen)
@rieke@sciences.social (Rieke Böhling, ZeMKI, University of Bremen)
@mikewayne@akademienl.social (Michael Wayne, Erasmus University of Rotterdam)
@petersuber@fediscience.org (Peter Suber, Harvard University)
@bjenquist@mastodon.social (Brian J. Enquist, University of Arizona; The Santa Fe Institute)
@toondoctor@hci.social (Hervé Saint-Louis, Université du Québec à Chicoutimi)
@conservbytes@mastodon.world (Corey Bradshaw, Flinders University)
@willthewordguy@mastodon.social (Will Mari, LSU) 
@biekezaman@hci.social (Bieke Zaman, KU Leuven, Digital Society Institute)
@jmanumeza@fediunam.site (Jose Manuel Meza, National Autonomous University of Mexico)
@jonippolito@digipres.club (Jon Ippolito, New Media and Digital Curation, University of Maine)
@anands@mastodon.social (Anand Sheombar, HU University of Applied Sciences Utrecht)
@jenniferpete@historians.social (Media Studies, Woodbury University, Los Angeles)
