Time and date added,What name do you wish to be listed by? ,What is your Mastodon handle (@username@instance.name),Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,Feel free to add a brief bio ,What hashtags (up to 5) best describe the content you post? 
1/26/2023 17:53:01,Josep Gesti,@josepgesti@mastodont.cat,@josepgesti,I am a botanist and I do research on the flora of the NE of the Iberian Peninsula (SW Europe),#flora #plantscience #botany

2/22/2023 22:17:53,in silico Plants,@insilicoPlants@botany.social,@insilicoplants,in silico Plants is an open-access journal dealing with all aspects of computational plant science.,#model #openaccess #fspm #plantscience

3/1/2023 18:05:11,Takiko I,170182,,Undergraduate student ,

3/1/2023 18:05:16,Takiko I,170182,,Undergraduate student ,

3/1/2023 18:05:21,Takiko I,170182,,Undergraduate student ,

4/4/2023 13:56:52,The Global Plant Council ,@globalplantGPC@mastodon.social ,@globalplantGPC,Global coalition of plant/crop science societies seeking to develop plant science. ,#plantscience #plants #scicomm #agriculture 

4/20/2023 20:57:16,Ivan Radin,@radinbio@mstdn.science,@radinbio,,#micrsopyimages #moss #plants

4/23/2023 12:04:36,Cornelius Traas ,@theapplefarmer@mastodon.ie,@theapplefarmer,"I run a fruit farm, and lecture in plant science and horticulture in University of Limerick",#fruit #horticulture #apples #plants #ireland

11/30/2022 9:55:01,Susannah Lydon,@susieoftraken@mastodon.social,@susieoftraken,"Assistant Professor in Plant Science at the University of Nottingham - I teach about plants, rocks and scicomm, and explain the amazing things the plant fossil record can tell us to anyone who will listen.",#Palaeobotany #Paleobotany #Scicomm #Mesozoic #Botany
