Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"

11/6/2022 6:59:45,Eric Talley,@ProfEricTalley@lor.sh,@ProfEricTalley,"Corporate Law, M&A, Corporate Finance, Contracts, Machine Learning","Delaware, NY, California, Fed.",I aspire one day to be a Mastadon,Yes

11/6/2022 7:01:03,Manfred Gabriel,@mgabriel@mstdn.social,@mgabriel,"EDiscovery, Antitrust, legal theory","US federal, NY, MA, Germany","Spent ten years in consulting, back in the law firm, also qualified German Rechtsanwalt, teach at Cardozo law school (eDiscovery)",Yes

11/6/2022 7:05:24,Taylor Anderson,@ander517@mas.to,Ander517,"Torts, appellate, first amendment",,,Yes

11/6/2022 7:10:14,Peter Daly,@peter_daly@mastodon.world,peter_daly,employment; discrimination; whistleblowing,UK,,Yes

11/6/2022 7:33:03,Richard Ashby Wilson ,@richardashbywilson@mastodon.social,@richardawilson7,"Human rights, transitional justice,  hate crimes","United States,  United Kingdom,  international criminal tribunals","Associate Dean for Research,  UConn Law",Yes

11/6/2022 7:33:30,Laura Moy,@lauramoy@mastodon.social,@lauramoy,"technology/privacy law, police technology and law, clinical education",,I teach and run a clinic at Georgetown Law,Yes

11/6/2022 7:34:01,Valerio De Stefano,@valeriodestefano@mastodon.uno,@valeriodeste,"law and technology, labour law, employment law, ","Canada, EU, Italy, US, ECHR","I am the Canada Research Chair in Innovation, Law and Society at Osgoode Hall Law School, York University, in Toronto",Yes

11/6/2022 7:51:23,Sophie Starrenburg,@s_starrenburg@mastodon.social,@s_starrenburg,"Public international law, cultural heritage law, human rights law, environmental law, legal theory",Global,PhD candidate at Leiden University,Yes

11/6/2022 7:54:30,Adam Tucker,@adam@publiclaw.space,@adamjtucker,"UK constitutional law, constitutional theory, legal theory",UK,University of Liverpool,Yes

11/6/2022 8:06:20,Tabitha Ross,@tabitha@mastadon.social,@Tabitha_Ross,"Administrative, disability, health law, bankruptcy, IP","Ontario, Federal, BC",Osgoode Hall JD & LLM student,Yes

11/6/2022 8:09:08,Catia Malaquias ,@CatiaMalaquias@aus.social,@CatiaMalaquias,"Disability rights, human rights, inclusive education ","Australia, international ",Lawyer and Doctoral Candidate,Yes

11/6/2022 8:12:04,Martha Albertson Fineman ,@MLAFineman,Martha LA Fineman,"Feminist and vulnerability theory, political theory, legal history",,Interested in the way law and policy are organized to reproduction society,Yes

11/6/2022 8:20:47,Tony Sebro,@keynote@mastodon.online,keynote2k,"Tech law, open source, content moderation, digital advocacy ",,General Counsel @ Change.org,No

11/6/2022 8:21:23,George Peretz KC,@GeorgePeretzKC@eupolicy.social,@GeorgePeretzKC,"UK public law, EU law, Brexit, competition law and subsidies, constitutional law, trade law","UK, EU, Ireland","Barrister, Monckton Chambers, London, and Law Library, Dublin. Exec, Society of Labour Lawyers",Yes

11/6/2022 8:30:52,Marie Aronsson-Storrier,@MarieA_St@mastodon.ie,@MarieA_St,"international law, disasters, lawmaking, use of force, human rights","Ireland, UK, Sweden, EU, International",,Yes

11/6/2022 8:42:12,Aaron Perzanowski,@perzanowski@mastodon.social,@Aperzanowski,"Intellectual property, copyright",,,Yes

11/6/2022 8:46:40,S Chelvan ,@S_Chelvan@mas.to,@S_Chelvan,"Refugee Law, LGBTQA+ rights, law and policy, and International Human Rights ","International, UK","Barrister (Head Immigration and Public Law), 33 Bedford Row Chambers (London), and Visiting Adjunct Professor of Law, Centre for International Law and Globalisation, University of Southampton. ",Yes

11/6/2022 8:49:18,Yo Shiina,@YoWatShiinaEsq@mstdn.social,YoWatShiinaEsq@twitter.com,"Competition, compliance, international human rights",United States,I just started serving as corporate compliance counsel after five years at a competition-focused litigation firm. ,No

11/6/2022 8:58:42,Justin Crawford,@jstncrwfrd@mas.to,@jstncrwfrd,Real Estate / Property,Georgia,I'm a property attorney in the Atlanta area. Also have experience in criminal defense (was *this* close to becoming a PD),Yes

11/6/2022 8:59:29,Amy Funderburk,@Alfe@masthead.social,Alfunderburk,"In-house, appellate ",North Carolina,"I created two profiles, am switching to this one. ",Yes

11/6/2022 9:12:12,Matthias Goldmann,@goldlaw@sueden.social,@MattHGoldmann,"International law, european law, constitutional law, debt, finance, history& political economy",,EBS University and MPI Int. Law ,Yes

11/6/2022 9:12:38,Tara Van Ho,@taravanho@bhre.social,@TaraVanHo,"International law, human rights, business & human rights",,,Yes

11/6/2022 9:14:52,Dimitrios A. Kourtis,@DAKourtis@mastodon.social ,@DAKourtis,"International law, international criminal law, TWAIL",Global South,"PhD (Genocide and the Right to Exist in International Law), TWAILer. Interested in legal imagination, politics, and international normative discourse",Yes

11/6/2022 9:21:21,Dan Cline,@dancline@mstdn.social,,"Exempt organizations, conservation easements",Michigan,Retired but still interested,Yes

11/6/2022 9:22:57,Lisa Sarro,@lisasarro@sfba.social,@lisasarro,"Public interest, legal services (the free kind), housing, general counsel",,"Former legal services attorney (20+ years), now general counsel for a county housing & community development agency. Californian, transplanted in Maryland. ",Yes

11/6/2022 9:29:36,Jorge Ikeda,@jorgeikeda@mastodon.social,@jorgeikeda,Mexican contitutional law,Mexico,None,Yes

11/6/2022 9:32:46,Nadia Bernaz,@NadiaBernaz@BHRE.social,@NadiaBernaz,"Business and human rights, international law, international human rights law",All,I created and run BHRE.social ,Yes

11/6/2022 9:37:34,Jeff Steck,@GazEtc@mstdn.social,@GazEtc,"Patents, innovation policy",,,Yes

11/6/2022 9:40:10,Kimber Russell,@420AttyChicago,@420AttyChicago,"Criminal Defense, Family Law, Clemency, Criminal Records Relief",Illinois,,Yes

11/6/2022 9:55:59,Francesco Paolo Micozzi ,@fpmicozzi@mastodon.uno,@fpmicozzi,Digital Law,Italy,,Yes

11/6/2022 9:57:16,Peter Oliver,@peteroliver@c.im,@petercoliver,"Constitutional law, constitutional theory, comparative constitutional law, constitutional history, federalism,","Canada, UK, Australia, NZ, Commonwealth (incl former), USA",Prof Centre de droit public uOttawa Public Law Centre,Yes

11/6/2022 9:57:45,Remy Green,@RemyGreen@mstdn.social,@j_remy_green,"First Amendment, Civil Rights, Voting Rights, Defamation","New York, New Jersey ",,Yes

11/6/2022 10:04:25,Sam Mawn-Mahlau,@smawnmahlau@fosstodon.org,BosTechLegal,"Corporate law, focusing on life sciences and technology; international, esp. China, India, Canada","U.S., China, India, EU, UK, others ","Interests include history, lit, music (formerly known as classical), and growing stuff ",Yes

11/6/2022 10:10:38,Katrina Kirkham,@KatrinaKirkham@mas.to,@KirkhamKatrina,"Law student, international public law","EU, UK, USA",,Yes

11/6/2022 10:13:17,Natalie Anne Knowlton,@natalalleycat@law.builders,@natalalleycat,"Access to justice, self-represented litigation issues, legal regulatory reform",National ,,Yes

11/6/2022 10:21:43,Norman Aasma,@norman_a@mastodon.online,@noaasm_,Public International Law with particular interest for IHL & ICL,Can be any,L.L.M. student in Public International Law at University of Oslo,Yes

11/6/2022 10:23:21,Ken White,@popehat@masthead.social,@popehat,"First Amendment, Criminal Justice",U.S.,,Yes

11/6/2022 10:27:12,Lawrence Akka,@law@mastodon.me.uk,@ITdisputes,"Tech, commercial, outsourcing, IP, crypto",England and Wales,,Yes

11/6/2022 10:28:37,Daniel Schuman,@danielschuman@mastodon.social,@danielschuman,"Separation of Powers, Congressional Rules, Government Transparency and Accountability",My work largely focuses on the supply side of law -- moving legislation through Congress.,,Yes

11/6/2022 10:33:53,Paul MacMahon,@paulmacmahon@mastodon.social,@macmahon_paul,"Contracts, international arbitration, private international law","England & Wales, USA",,Yes

11/6/2022 10:34:12,Johanna Kalb,@professorkalb,,"Human rights, election law, First Amendment ",US and intâl esp East African ,Dean @ Idaho Law ,Yes

11/6/2022 10:39:14,Megan Simpson,@megan@mastodon.coffee,@ireadlikeaboss,"Public Interest, Non-Profit Legal Services, Disability","Missouri, USA","Former legal services attorney (7 years), currently in the non-profit health care space",Yes

11/6/2022 10:44:03,Jennifer Taub,@jentaub@mstdn.social ,@jentaub,"White Collar Crime, Tax Justice, Financial Market Regulation",U.S. and offshore ,,No

11/6/2022 10:47:47,Katherine Boettcher ,@LazyCirclesEsq@mstdn.social,,"Legal theory, federal courts and law, disability law",Federal,Disability lawyer in Oklahoma.,Yes

11/6/2022 10:51:12,Terri Gerstein,@TerriGerstein@c.im,@TerriGerstein,"workers' rights, labor, employment ",all,"Director, State and Local Enforcement Project at Harvard Labor and Worklife Program; Senior Fellow, Economic Policy Institute",Yes

11/6/2022 10:52:04,David Quist,@dquistny@fosstodon.org,@dquistny,"health, environmental, land use, technology",New York,,Yes

11/6/2022 11:00:57,Joyce White Vance,@joycevance@mastodonsocial,@joycewhitevance,"Criminal law & procedure, civil rights, voting rights & election law, & democratic institutions",,"Former US Attorney, 25 years at DOJ, Legal analyst for MSNBC, law professor at University of Alabama",Yes

11/6/2022 11:03:49,Renee Zay,@Reneezaytsev@mastodon.online,@reneezaytsev,"Securities litigation, shareholder activism, corporate governance","New York, Delaware",Iâm a securities litigator and corporate governance geek. Based in NY. Mom of 2 girls.,Yes

11/6/2022 11:05:40,David Colarusso,@colarusso@mastodon.social,@Colarusso,"Legal tech, empirical work, judicial decision making",,,Yes

11/6/2022 11:06:13,Christian Turner,@christor@mastodon.cloud,christor,"Legal theory, related nonsense",Still searching,,Yes

11/6/2022 11:10:49,Liam Roche,@LiamTRoche@mas.to,LiamTRoche,"Human Rights, Migrant Rights, Asylum, Public International Law, Constitutional & Administrative Law.","USA, UK, EU","Academic specialising in immigration, asylum, human rights protection and international law.",Yes

11/6/2022 11:12:13,Giancarlo Salizzo,@louderthoughts@mastodon.ie,@louderthoughts,"Data protection law, technology regulation","Ireland, EU, New Zealand","Partner at Matheson, Dublin ",Yes

11/6/2022 11:14:50,Jennifer Hendricks,@jenniferhendricks@mas.to,,"feminist legal theory, family law","US, Colorado","law professor, University of Colorado",Yes

11/6/2022 11:27:16,Alessandra Arcuri,@AArcuri@mstdn.social,@ArcuriAa,"International (Economic) Law, Sustainability, Regulation, Environmental Justice","International, EU, The Netherlands, Italy",Law Professor Erasmus University,Yes

11/6/2022 11:37:21,Javier S. Eskauriatza,@js_eskau@mastodon.online,@js_eskau,"international criminal law, transnational criminal law, public international law, criminal law, legal theory ",England and Wales,"Javier completed his LLB in European Legal Studies (2007) and his LLM in International Law (2008) at the University of Bristol. He worked in UK insurance law, European language schools, and as a legal analyst for a Mexican exporter before securing funding to pursue a PhD at the University of Birmingham. His PhD thesis on the theoretical and practical application of the jus post bellum in post-conflict Colombia was awarded in 2018. He joined the University of Nottingham School of Law as an Assistant Professor in Criminal Law in 2022.",Yes

11/6/2022 11:38:43,Sujung Kim,@jnmama@sfba.social,@Sujung_Kim_SF,Public and Criminal Defense/Criminal Justice Reform,San Francisco/California/National,"Trial attorney at San Francisco Public Defenderâs Office for 25 years. Currently serving as Managing Attorney of the Research Unit, writing and filing motions and writs in the trial court and appellate courts. Advocating for criminal justice reforms at the local and state levels. ",Yes

11/6/2022 11:45:40,Kyle Gooch,@kyledgooch@mas.to,@kyledgooch,Commercial litigation,NY,Attorney at Harris Beach PLLC,Yes

11/6/2022 11:46:04,Pooja Parmar ,@poojaparmar@mas.to,@poojaaparmar ,"legal history, legal ethics, Indigeneity ",,,Yes

11/6/2022 11:49:23,Dorothea Endres,@endresdo,@endresdo,"Legal Theory, International Law, Human Rights, BHR, Legal Change","International/transnational, CH, D, F, EU","PhD Candidate at IHEID, Researcher at Universtiy of Geneva, formerly researcher at IHEID Global Governance Centre, Swiss Bar Exam, working in the area of refugee law and data protection.",Yes

11/6/2022 11:50:50,Jonah Perlin,@JonahPerlin@appellate.social,@JonahPerlin,Legal Practice,,,Yes

11/6/2022 11:55:18,Duncan Hollis,@DuncanHollis@ioc.exchange ,@DuncanHollis,"International law, treaties, cybersecurity",International law ,,Yes

11/6/2022 12:16:06,Doug Nazarian,@dnazarian@appellate.social,@dnazarian,Appellate judiciary ,Maryland ,"Judge, Court of Special Appeals of Maryland ",Yes

11/6/2022 12:17:22,Objkshn,@objkshn@mastodon.nv ,@objkshn,"Criminal defense, constitution, housing rights",California,Objkshn = Objection!,Yes

11/6/2022 12:17:47,Sean Jones KC,@SeanJones@mastodon.social,@seanjoneskc,Employment and Sports Law,UK,,Yes

11/6/2022 12:17:55,Sara Lobkovich,@saralobkovich@mastodon.social,@saralobkovich,"Mediation, conflict modes and resolution, employment law (non-practicing)",Licensed in WA/US. Globally interested.,"Non-practicing lawyer now working in strategic operations, executive + career coaching, and leader development. Love working with lawyers.",Yes

11/6/2022 12:20:00,Rhett Derrick ,@lawzag@c.im ,@lawzag,Mostly civil practice,United States,,No

11/6/2022 12:25:11,M. Kabakoff,@kabakoff@mastodon.social,,"Criminal Defense, Indigent Defense, Capital Defense","US, North Carolina, New York, Illinois",Public Defender in North Carolina,Yes

11/6/2022 12:29:29,Sean Wilken KC,@seanwilkenkc@mastodon.social,@seanwilkenkc,International and commercial law,England & Wales; Arbitral Institutions,,Yes

11/6/2022 12:29:55,Jillian Weiss,@drwilliangtice@counter.social,drjilliantweiss,"Employment discrimination, gender identity ",All federal,I am a trans civil rights attorney,Yes

11/6/2022 12:30:54,Helen Hart,@helenmhart@mastodon.social,@helenmaryh,"Advertising, consumer and tech law","UK, EU",,Yes

11/6/2022 12:41:07,Dina Francesca Haynes ,@RefugeeProjects@ieji.de,ProfDFHesq ,"Immigration, human trafficking, international, constitutional,  human rights, public interest law","US, international","Human rights and immigration advocate, law professor, active lawyer",Yes

11/6/2022 12:42:07,Meredith Rose,@m_f_rose@mstdn.social,@m_f_rose,"Copyright, tech policy, consumer advocacy",,Senior Policy Counsel at Public Knowledge,Yes

11/6/2022 12:46:20,Scott Wortley,@scottwortley@mastodon.scot,@scott_wortley,"Scots law, statutory interpretation, property law, debt and insolvency law","Scotland, anglo-american systems for comparative purposes","Lecturer in law, University of Edinburgh",Yes

11/6/2022 12:47:40,Amy Landers,@amylanders@mstdn.social,@ProfAmyLanders,"Intellectual Property, Creativity, Innovation",US,Drexel University,Yes

11/6/2022 12:48:13,Som-Mai Nguyen,@sommainguyen@mas.to,@sommainguyen,"Immigration (removal defense), public interest, crimmigration.","PA, 3rd Circuit.",New attorney doing publicly funded deportation defense (PAIFUP).,Yes

11/6/2022 12:54:42,Julian Scholtes,@jscholt@scholar.social,@jscholt,"Constitutional law, EU law, constitutional theory","EU, UK, US, Latin America",,Yes

11/6/2022 12:57:38,Michelle Strowhiro,@strowhiro@sfba.social,@strowhiro,Employment law,California,"Law, LEGO, parenting, pens, & puns",Yes

11/6/2022 13:03:04,Rebecca Natow,@rebeccanatow@mastodon.social,@rebeccanatow,Higher Education Law and Policy,United States,Lawyer with a doctorate in education; faculty at Hofstra University; teacher of higher education law and policy (among other things) ,Yes

11/6/2022 13:05:16,Mona Paulsen,@mpaulsen@mstdn.social,@loyaladvisor,"international trade, investment, economic security",international ,"Asst Prof, LSE Law",No

11/6/2022 13:10:53,Eric Sproull,@composerlawyerguy@mstdn.social,@composer_lawyer,Immigration Law,"USA EOIR venues, federal courts",Also music composer/producer. I create filmmusic and music for Democratic political media nationwide.,Yes

11/6/2022 13:14:48,Donna Coltharp,@coltharp_donna@mastodon.lor.sh,@coltharp_donna,"criminal law, death penalty law, habeas law, legal theory",all,"Federal capital habeas attorney interested in all areas of criminal law and everything that intersects with it, from decarceration to racial justice to prosecutorial ethics",Yes

11/6/2022 13:15:03,Kavana Ramaswamy ,@kavana@scholar.social,@KavanaRamaswamy,"Disability, International law, Human rights, legal theory and jurisprudence","UK, India, US, EU","Academic, currently doing a PhD at Cambridge",Yes

11/6/2022 13:24:42,Matt Alden,@MattAlden,@MattLAlden,"Litigation, trial practice, appellate practice ","Ohio, Federal ",,Yes

11/6/2022 13:25:24,Charles Rollins,@hedonismbot@mstdn.social,@charleshrollins,"Criminal Law, Commercial Law, Construction Law, Healthcare Law","Georgia, North Carolina, all federal courts, CA11","Lawyer in Augusta, GA",Yes

11/6/2022 13:44:31,George Shields,@GeorgeShields@mastodon.social,@GeorgeShields,"Labor and employment law; additional interests include comparative constitutionalism (especially the Westminster system), Internet law, national security, and poverty law/access to justice",US,"Currently in-house counsel, previously legal aid and private firm",Yes

11/6/2022 14:01:59,JoÃ£o Marinotti,@joaomarinotti@mastodon.social,@JoaoMarinotti,"Property, Emerging Technology, Private Law Theory, Interpretation, Linguistics",United States,Law Prof @ Indiana University Maurer School of Law,Yes

11/6/2022 14:03:40,DecodingTrolls,@DecodingTrolls@Mastodon.world,@DecodingTrolls,International Law,"Ukraine, England and Wales","Trinity Hall, Cambridge anti-disinfo practitioner, and ex-diplomat ",Yes

11/6/2022 14:10:43,Daniel Nazer,@danielnazer@mastodon.social,@danielnazer,"First amendment, Copyright, Section 230, In-house",,"Counsel at Mozilla, formerly EFF and ACLU",Yes

11/6/2022 14:14:18,Lori Ecker,@EmployeeRights@c.im,@EmployeeRights,"Employment Law, ADR","All, esp. IL & 7th Cir.",,Yes

11/6/2022 14:20:18,Adam A. Marshall ,@a_marshall_plan@mastodon.social,@a_marshall_plan ,"Government transparency, FOIA, public records, public meetings",,Senior Staff Attorney at Reporters Committee for Freedom of the Press ,Yes

11/6/2022 14:25:32,Fabian Krougman,@fabiankrougman@mastodon.org.uk,@fkrougman,"Personal injury, Criminal law ",England and Wales / Netherlands ,,Yes

11/6/2022 14:26:49,Richard Barnes,@law_rich@mastodon.scot ,@law_rich,"International law, law of the sea, human rights",,,Yes

11/6/2022 14:30:23,Anna VanCleave,@annavancleave@c.im,@VancleaveAnna,"Criminal law, clinical teaching",,,Yes

11/6/2022 14:46:31,Gillian Calder,@gcalder@madtodon.sdf.org,@gilliancalder,"Constitutional law, family law, perform activity, queer legal theory, critical pedagogy","Canada, BC",Prof at UVic Law,Yes

11/6/2022 14:54:42,Arvind Iyengar,@cardbross@masthead.social,@arvindiy,IP Litigation,DC/WDTX/Fed Circuit,,Yes

11/6/2022 14:56:30,Ariane Wilkinson,@arianewilkinson@aus.social ,@arianewilkinson,"Climate, energy, environment, climate justice",Australia ,"I am a lawyer with specialist expertise in climate, clean energy and environmental law, with over a decade in practice helping clients solve complex legal problems and leading on nationally and globally significant climate and corporate accountability advocacy.  I am a listed expert in law, policy and regulation in the Clean Energy Council - Women in Renewables Speakers Guide.   I currently serve on the Visiting Committee of Griffith Law School.  In 2019 I was the inaugural supervising lawyer and co-creator of the Monash University Climate Justice Law Clinic.  ",Yes

11/6/2022 14:56:52,Brent J. Arnold,@CyberLawyerTO@ioc.exchange,@BrentJArnold,Commercial litigation; cybersecurity; privacy; class actions,Canada trial and appellate,"Trial & appellate lawyer, data breach coach. Partner at Gowling WLG (Canada) LLP. Exec: OBA, DRI, IADC; Director: Internet Society Canada Chapter",Yes

11/6/2022 14:57:50,Jef Pearlman,@JefAtLaw@tech.lgbt,JefAtLaw,"IP (Â©, â¢, etc.), speech, tech, internet, lgbtq+","Mostly US, some UK, some others.","Coder, law professor, activist, clinician, catter.",Yes

11/6/2022 15:05:01,Irina Manta,@irinamanta@fosstodon.org,@irina_manta,"Intellectual property, Internet law, Torts, Immigration",New York,Co-host of âStrangers on the Internetâ dating podcast at strangersoninternet.com,Yes

11/6/2022 15:06:13,Jim Milles,@Jimmilles@c.im,,Legal ethics,"NY, US","Law prof, legal ethics nerd",Yes

11/6/2022 15:17:11,Sarah Robson,@Portal_Queen@c.im,Portal_Queen,"Fixed Costs, Taekwondo",England & Wales,Black Belt Barrister,Yes

11/6/2022 15:22:31,Peter Suber,@petersuber@fediscience.org ,@petersuber,"copyright, constitutional law",federal,I work to advance open access to research.,Yes

11/6/2022 15:24:12,Jennifer Kavanagh,@quiatimet@mastodon.ie,@quiatimet,"Irish law, constitutional law, electoral law, public law and administrative law",Ireland,Law lecturer,Yes

11/6/2022 15:36:12,Jason Perseus,@JasonPerseus@mas.to,JasonDonker,"Municipal law, prosecution, Fourth Amendment, National Security Law","Wisconsin, 7th Circuit","I am an assistant city attorney in the Great State of Wisconsin, primarily handling prosecution. Apart from law: interested in international security, politics, and policy. ",Yes

11/6/2022 15:38:57,Elizabeth Cronise McLaughlin,@ecmclaughlin@mstdn.social,@ECMcLaughlin,"Recovering securities fraud/human rights lawyer, now commentator/writer","Federal courts, NY, CA","Founder, Gaia Leadership Project & AtelieratGaia; Writer-Activist-Ex-Attorney; Host, #LivingThroughIt Podcast; Good Troublemaker; she/her.",Yes

11/6/2022 15:45:09,Aoife O'Donoghue,@aoifeodonoghue@mastodon.ie,@aoifemod,"International Law, Feminism, Law and Humanities, Legal History, Constitutionalism","International, Ireland & Northern Ireland ",,Yes

11/6/2022 15:47:41,Jamie Hill,@Hill_J@mastodon.online,@_Hill_J,Personal injury ,England & Wales,,Yes

11/6/2022 16:02:05,Jacob S. Sherkow,@jsherkow@mastodon.social,@jsherkow,"Patent law, intellectual property, FDA law, law and biosciences",US/EU,"Prof @UIllinoisLaw, @IllinoisMed, @IGBIllinois, @eucenter; also @CeBIL_Center #patents, #IP, #biotech, #pharma, #bioethics. Ducks, drugs, and nicks that roll.",Yes

11/6/2022 16:02:34,Simon Katterl,@simonkatterl@aus.social,@simonkatterl,Mental Health Law; Human Rights Law; Regulation,Australia; International Human Rights Law,Work at the intersection of mental health law and human rights law,Yes

11/6/2022 16:05:02,Colin Murray,@colinmurray@mastodon.ie,@CRGMurray,"Public Law, Human Rights, Electoral Law, Constitutionalism, Brexit, Devolution, Political Violence, Colonialism",UK; Ireland; EU; ECHR,"Professor of Law and Democracy at Newcastle University, UK.",Yes

11/6/2022 16:09:28,Yuvraj Joshi,@yuvrajjoshi@mas.to,@yuvrajjoshi,"Constitutional law, human rights, racial justice, LGBTQ+ equality","United States, Canada, transnational ","Law professor at UBC Allard School of Law, Faculty affiliate at UCLA Promise Institute for Human Rights",Yes

11/6/2022 16:12:20,Layla Maurer,@madmadam@eldritch.cafe,@Lgamad_m,"IP, corporate, legal tech, legal writing","NY, DC, WA","Lawyer for Wizards of the Coast, here for chat and connections.",Yes

11/6/2022 16:14:34,Andreas Kuersten,@akuersten@mstdn.social,@KuerstenAndreas,"Criminal law, IP Law, Neurolaw, International Law, Criminal Procedure, Constitutional Law","USA, Federal law",Federal attorney and legal academic. ,Yes

11/6/2022 16:16:07,Suzanne Doyle Guilloud,@suzannedoyleguilloud@mastodon.ie,@sdoyleguilloud,"Disability rights, legal capacity, alternatives to coercion in healthcare, reproductive justice","Ireland, EU, Council of Europe, United Nations",,Yes

11/6/2022 16:17:02,George R. Kennedy,@furiousgeorge@mas.to,,"Criminal Law, Postconviction",Minnesota,,No

11/6/2022 16:28:40,Brenda Dvoskin,@dvoskin@mastodon.social,@brendadvoskin,Law and technology,US,,Yes

11/6/2022 16:29:09,Grant R. Gulovsen,@gulovsen@mastodon.online,,"Corporate Law, Cryptocurrency Law, Intellectual Property, Startups","U.S., Illinois",Currently working with technology startups with a focus on cryptocurrency and decentralized governance,Yes

11/6/2022 16:30:10,Darragh Coffey,@darraghcoffey@mastodon.ie,@darraghcoffey,"Public Law, Clinical Negligence, Inquests and Public Inquiries, Environmental Law.","England and Wales, Ireland","Barrister at 1 Crown Office Row, London",Yes

11/6/2022 16:38:30,David Fraser,@privacylawyer@twit.social,privacylawyer,"Privacy, Technology and Internet law ",Canada,I advise global companies on privacy & tech law & rant about legal things. ,Yes

11/6/2022 16:39:09,Andrew A. Ortiz ,@aao@mastodon.social,@AndrewAOrtiz,LGBTQ civil rights,US,Trans rights focus,Yes

11/6/2022 16:48:02,Coenraad van der Westhuizen,@cwesthuizen@aus.social,@cwesthuizen,"Immigration law, administrative law, constitutional law, human rights","Australia, New Zealand",Iâm an Australian immigration law specialist,Yes

11/6/2022 16:49:05,Simon McGarr,@Tupp_ed@mastodon.social,@Tupp_ed,Data Protection/Privacy,EU,Represents Digital Rights Ireland,Yes

11/6/2022 16:58:44,Aatif Iqbal,@aaiqbal@mindly.social,aaiqbal,"Legal theory, free speech, class action litigation",New York,,Yes

11/6/2022 17:01:57,David Cotterell,@chandos64@mastodon.social,,"Real estate litigaton, landlord & tenant, housing law, ADR","England & Wales, EU, NZ & AUS","Barrister in private practice at Albion Chambers, Bristol, UK - also chartered surveyor & registered valuer at Savills (UK) Ltd",Yes

11/6/2022 17:04:39,Patrick Emerson McCormick,@PatrickEmmick@ioc.exchange,PatrickEmmick,Data protection and cybersecurity; commercial litigation,"US: CA, AZ, CO, Federal","CIPP/US, data privacy, trying to increase my technical expertise",Yes

11/6/2022 17:05:17,Maria Helen Murphy,@mariamurphy@mastodon.ie,@maria_h_murphy,"Privacy, surveillance, data protection, technology law, Internet law, human rights.",,"Associate Professor, Maynooth University, Ireland ",Yes

11/6/2022 17:17:24,Alan Greene ,@AlanGreene@mastodon.ie,@DrAlanGreene,"Constitutional law, public law, human rights, counter-terrorism","Ireland, UK",,Yes

11/6/2022 17:18:34,Ishan Nagpal,@ivnagpal@mastodon.coffee,https://twitter.com/ish1215,Corporate Governance; White Collar Defense; International Trade,California,,Yes

11/6/2022 17:19:19,T Singh,@TSinghmorethanl@mastodonapp.uk,@TSinghmorethanl,"Corporate, technology, regulatory, medical",E&W,"Academic, technical ",Yes

11/6/2022 17:33:33,Dr Gillian Kane ,@gilliankane87@mastadon.ie,@gilliankane87,"International law, human rights, human trafficking, refugee law, ","UK, Ireland (Regions: Africa, Europe)","Postdoctoral Researcher, Irish Centre for Human Rights, University of Galway.",Yes

11/6/2022 17:36:19,Lander Goossens,@lander@mastodon.green,,International law,,I am still a student but i really want to specialize in international law!,Yes

11/6/2022 17:38:04,Jean Binkovitz,@jbink@mastodon.social,@profbinkovitz,"immigration, international","US national, MN","I am a Minnesota immigration lawyer (also rabbi and sport trainer), and have taught undergraduate law classes including Early Constitutional Law, Modern Constitutional Law, and International Law. Proud graduate of the University of Minnesota Law School, but equally proud to have started out at Capital Law School in Columbus, Ohio.",Yes

11/6/2022 17:38:19,David Sugerman ,@davidsug@mastodon.sdf.org,@DavidSug,Consumer protection; civil rights; class actions,Federal courts; Oregon,"Senior partner at Sugerman Dahab in Portland, OR. Adjunct law prof (consumer protection) Lewis & Clark",Yes

11/6/2022 17:49:27,Dominic de Cogan,@domcogan@mastodonapp.uk ,domcogan,"Tax, public law, constitutional law, administrative law, legal history",UK and comparative,,Yes

11/6/2022 17:49:43,Anurag Deb ,@anuragdeb@mastodon.social,@governmentalite,Public and constitutional law ,"UK, Ireland, Northern Ireland, India",I'm a PhD student at Queen's University Belfast.,Yes

11/6/2022 17:50:07,Jon Hyman,@jonhyman@toot.community,@jonhyman,"Employment law, craft brewery law",,,Yes

11/6/2022 18:00:28,J.A. Johnson,@JAJohnson@mas.to,,Privacy Law,Washington DC,Iâm a privacy attorney interested in how humane tech can better human interactions.,Yes

11/6/2022 18:29:25,Wendy Lyon,@wendylyon@mastodon.ie,@wendylyon,"Immigration, human rights ",Ireland,,Yes

11/6/2022 18:39:12,Frederik Zuiderveen Borgesius,@Frederik_Borgesius@akademienl.social,@fborgesius,"Law & technology, privacy, non-discrimination ","EU, world, Netherlands  ",My university web page: https://www.ru.nl/en/people/zuiderveen-borgesius-f,Yes

11/6/2022 18:42:04,Jakub Jaraczewski,@j_jaraczewski@mastodon.online,@J_Jaraczewski,"constitutional law, EU law, human rights","EU, Poland, Hungary, CEE",,Yes

