Timestamp,Name or Known As,"
What is your Mastodon handle (@user@instance.name)?","What is your Twitter handle, if you have one (@user)?",What is your focus?,"Anything else you want to share? (bio link, org, school, etc.)","Professional, enthusiast, student?"
11/25/2022 21:34:33,Laureen Fagan,@laureen@m.ai6yr.org,@laureenfagan,"Climate change, weather, global affairs",Journalist,Professional
11/26/2022 14:10:43,LaDueView,@JamesLaDue@wx.social,@JLaDue,"I focus on meteorology, natural hazards, disaster mitigation, engineering community resilience. But I enjoy almost any rational discussion.",I am acting Director of NIST/NWIRP and am an NWS instructor on warning decision-making.   ,Professional
11/26/2022 19:32:06,Eviatar Bach,@eviatarbach@fediscience.org,@eviatarbach,"climate, predictability, data assimilation, dynamical systems",,Professional
11/28/2022 19:21:21,Brian Brettschneider,@Climatologist49@fediscience.org,@Climatologist49,Mooseology,,Professional
11/28/2022 20:00:00,Dennis Mersereau,@wxdam@mastodon.coffee,@wxdam,,,Professional
11/28/2022 21:12:11,The Magic Hour,@magichour@techhub.social,@GolferChris68,Weather Photography,,Enthusiast
11/29/2022 0:53:01,WorcesterCountySteve,@worcestercountyweather,@skarsok,Central Massachusetts Weather,,Enthusiast
11/29/2022 1:47:11,Adam Skinner,@adamskinner@mstdn.ca,@AdamSkinnerWX,Raising awareness about tornadoes and severe weather ,Iâm the founder / director of InstantWeather.ca ,Professional
11/29/2022 20:49:05,Jessica Moore,@DopplerJess@mastodon.lol,@JessicaMooreWx,"Mesoscale meteorology, mountain meteorology, severe/fire/winter weather",https://jessicamphotographer.com/about-me/,Professional
11/29/2022 21:48:43,Larry Gloeckler,@lcgthree@mstdn.social,@upstateNYwxguy,Weather and tech,Principal Data Engineer at The Demex Group,Professional
12/2/2022 10:41:29,Steve Gregg,@stevegregg@scicomm.xyz,@stevegregg,,,Professional
12/12/2022 16:36:07,David Oxley,@vortox@wx.social,@oxleyio,Storm chasing,,Enthusiast
12/13/2022 23:10:59,RVA Weather,@rvaweather@mastodon.social,@rvaweatherwatch,Forecasts and severe weather alerts for central Virginia,,Enthusiast
12/14/2022 18:21:09,iFred,@ifred@mastodon.social,ifred,Seattle area weather and the data behind it.,deadbird.singlepane.io,Enthusiast
12/15/2022 21:59:30,Tiffany Rodgers,@wxtiffanyr@wx.social,@wxtiffanyr,"Weather, hiking, photography",,Enthusiast
12/15/2022 22:08:14,Mark Ellinwood,@markellinwood@mastodon.social,@markellinwood,"Mid-Atlantic weather, memes, general stuff I find interesting.",Meteorologist for Earth Networks/WeatherBug,Professional
12/15/2022 22:37:24,,,,,,
12/15/2022 22:45:19,Craig Ramseyer ,ramseyer@mastodon.social,craigramseyer,Hydroclimate,Assistant Professor @ Virginia Tech ,Professional
12/15/2022 23:01:29,Brendon,@brendonme@wx.social,@brendonme,Pictures of clouds,,Enthusiast
12/15/2022 23:06:49,Bobby Stilwell,@bobbystilwelltv@federated.press,@bobbystilwelltv,"Severe weather, winter weather, private forecasting","Meteorologist | recovering journalist | drone pilot | once called a âsnarky underlingâ | Prev: WHNT News 19, The University News",Professional
12/15/2022 23:13:38,Brandon M,@wxbdm@vmst.io,@WxBDM,Programming,Auburn/Millersville grad,Professional
12/15/2022 23:19:41,"Live Storm Chasers, LLC",https://wx.social/@livestormchasers,@livestormchaser,Live Network Media Coverage (Weather | Aviation | Space | Rockets),https://livestormchasers.com,Professional
12/16/2022 0:33:14,Jeff Snyder,@srhelicity@mastodon.world,@srhelicity,"Supercells, weather radar, microphysics ",,Professional
12/16/2022 7:00:46,Elizabeth Leitman (@wxliz),WxLiz@wx.social,@wxliz,"Weather, severe storms, risk comms",NWS/SPC Meteorologist,Professional
12/16/2022 9:40:38,Alex Rybchuk,rybchuk@fediscience.org,,"Micrometeorology, wind energy, machine learning",NREL,Professional
12/16/2022 10:14:35,Pete,https://mastodon.social/@rear_flank,@WxmanPete or @Plana_Journ,New Jersey Weather,,Enthusiast
12/16/2022 13:02:41,Alicia Bentley,@AliciaMBentley@vmst.io,@AliciaMBentley,Weather,,Professional
12/16/2022 15:22:40,Rachael Gass,@RachaelGass@disabled.social AND @RachaelGass@projectmushroom.social,@RachaelGass,"Government, Science, Disability",,Professional
12/17/2022 10:08:49,Chris McBee,@McBeeWX@wx.social,@McBeeWX,Weather & storm chasing,KFOR Oklahoma City,Professional
12/17/2022 10:11:46,Rachel McBee,@pondertart@wx.social,@pondertart,Weather and cats :),B2B Marketing Director at WeatherFlow-Tempest,Enthusiast
12/17/2022 20:23:05,Eddie Wolff,@EWolffWX@mastodon.world,@EWolffWX,"Severe weather, QLCS tors, forecasting, science comm",GRA at Illinois Urbana-Champaign,University Student
12/18/2022 13:33:19,Becky DePodwin,@wxbecks@mastodon.world,@wxbecks,"Weather, emergency management, communication, but mostly nature pics and random retweets",,Professional
12/18/2022 13:38:40,Sam Gardner,@wx4stg@mstdn.social,@samgardner_4,"Undergrad met. student, radar, lightning",Texas A&M WHOOP,University Student
12/18/2022 13:40:28,Mike,@OntarioWedges@wx.social,@OntarioWedges,,,Enthusiast
12/18/2022 13:55:02,Matt,Matt_Wyo@wx.social,Matt_Wyo,Clouds,,Enthusiast
12/18/2022 13:57:55,Steven Watt,@hogear@wx.social,@hogear,Weather - Python - Aviation,,Enthusiast
12/18/2022 14:28:37,Randy Chase,@dopplerchase@wx.social,@dopplerchase,"Radar/Satellite Meteorology, AI/ML ",https://www.dopplerchase.oucreate.com/About.html,Professional
12/18/2022 14:36:53,Jordan Tessler,@jtessler@masto.ai,@jztessler / @terpweather,,,Enthusiast
12/18/2022 14:37:35,Anton Falco,@AntonFalcoWx@mstdn.ca,@AntonFalcoWx,Meteorology,Wildlife/landscape photos,Professional
12/18/2022 14:43:56,Addison Alford,@addisonalford@mstdn.science,@addisonalford,"Radar, mesoscale, hurricanes",,Professional
12/18/2022 15:58:56,Jason Jordan,@kc5knd@wx.social,@kc5knd,"Probabilistic Forecasting & anything related to NWS ops, severe weather, radar, lightning, ...",,Professional
12/18/2022 16:45:48,Rollingskyphotography (ethanf_wx),rollingskyphotography@wx.social,@rollingskyphoto,Storm photography and videography ,,Enthusiast
12/18/2022 16:57:02,Jim Tang,@wxmann@wx.social,@wxmann,"Storm chasing, software development",https://linktr.ee/wxmann,Enthusiast
12/18/2022 17:10:00,Chris Rozoff,AgitatedCu@wx.social,,Mesoscale,,Professional
12/18/2022 17:25:54,Kiahna Mollette,@kiahna@wx.social,KiahnaMollette,"Tropical, lightning, lightning photography",Iâm a grad student at the University of Alabama in Huntsville!,University Student
12/18/2022 17:27:04,Ryan Rogers,wxryanrogers@wx.social,@wxryanrogers,"Forecasting, Severe, Tropical",NCSU and UAH alum,Professional
12/18/2022 17:37:57,Jim Hobson | Frontier Views,@frontierviews@wx.social,@frontierviews,Photography and high plains storm chasing,,Enthusiast
12/18/2022 19:07:51,Jared P Bostic,@JaredPBostic@mastodon.social,@JaredPBostic,"mesonets, data ingest, archival, dissemination, and viz",me: jaredpbostic.com / my work: mesonet.org,Professional
12/18/2022 19:45:21,Jeremy Corner,@JcornerWx@masto.nu,@JcornerWx,"Severe weather, Research",MS student at NIU,University Student
12/18/2022 22:03:47,Ada Monzon,@adamonzon,@adamonzon,Tropics,,Professional
12/19/2022 0:26:17,Nicbudd77,@nicbudd@wx.social,@Nicbudd77,"Severe weather, storm chasing, tropical cyclones",https://www.nicbudd.com/weather.html,Enthusiast
12/19/2022 1:52:57,Sophia Sagrestano ,ssagrestanowx@wx.social,ssagrestanowx,"Lake Effect Snow, Emergency Management, Mental Health, and much more",,University Student
12/20/2022 18:08:31,Brian Miner,@bdmphoto@eloi.social,@bdmphoto,photog and complaining,,Enthusiast
12/28/2022 8:40:40,EXTREMEWEATHER.CLUB,@xWxClub@mastodon.social,@xWxClub,Storm photography community,,Enthusiast
12/30/2022 16:13:43,Brian Greene,@wxbrain@wx.social,@wxbrain,"ABL, Turbulence, UAS, LES",University of Oklahoma,Professional
1/18/2023 11:10:28,Zoom Earth,@zoom_earth@mapstodon.space,@zoom_earth,Tropical cyclones and severe weather,Website https://zoom.earth,Professional
1/26/2023 13:48:51,Will Curtis,@willcurtis@nxtgen.social,@willcurtis,Weather technology,,Enthusiast
2/28/2023 14:49:00,Laura Paccini,@laurapaccini@mas.to,@laurapaccini,Tropical convection,,Professional
