ntoots	mastodon_name
17	pondswimmer@assemblag.es
89	mgalactus@fediscience.org
2	paulabrunton@mastodon.scot
5	drandytan@mstdn.social
6	Theo@mastodon.scot
3	hebrooks87@mastodon.world
23	lklastrup@mas.to
820	akstuhl@assemblag.es
56	elvira_rosert@mas.to
11	timhannigan@mastodon.social
15	vose@fediscience.org
4	ptarroso@mastodon.social
1324	enog@masto.ai
50	tommaso_caselli@mastodon.social
2	zbjornson@mastodon.world
75	jdleongomez@mastodon.social
15	Royesal@fediscience.org
23	danadolan@mastodon.social
22	ffshr@mastodon.social
5	rbjanis@mastodon.social
8	ALuisaPinho@fediscience.org
140	jhelvy@fediscience.org
29	SilkeZM@fediscience.org
1	gildersleve@mastodon.social
19	jrovny@masto.ai
2	ikkibop@assemblag.es
37	tietsche@fediscience.org
96	wntlab@mastodon.social
19	TamaraFranklin@mastodon.social
11	AbbyKinchy@mstdn.social
19	MarioQuevedo@fediscience.org
12	kanoldlab@mastodon.world
16	maksimrudnev@mastodon.social
73	BeeDr@mastodon.world
2	DrYasmiyn@mas.to
1	schizocities@hcommons.social
41	agnesquis@mastodon.social
13	4heilig@mas.to
68	donnyvdm@mastodon.social
184	liammr@mstdn.social
4	ichiloe@mas.to
5	Prof_Bianca@mastodon.social
2	bluwstein@mastodon.social
19	kagiadi@masto.ai
62	Akbaritabar@mastodon.social
12	ozgoz@mastodon.social
9	probstMD@mastodon.social
9	yannbd@fediscience.org
6	TarekBesold@mstdn.social
55	claudia_aradau@mastodon.social
165	fortnow@fediscience.org
92	fa_burkhardt@mastodon.world
103	vianey@mastodon.social
17	ValentinBeck@fediscience.org
13	calamityloise@fediscience.org
345	rkpejsova@mas.to
48	timoseidl@mastodon.social
180	henriqueparra@mastodon.social
17	Spe07@mstdn.social
3	AnnaLSchubert@fediscience.org
156	jsabatino37@fediscience.org
91	mick@fediscience.org
112	symvou@fediscience.org
78	RL_Hooper@assemblag.es
14	aeuritt@mastodon.social
28	aesposito@fediscience.org
3	IvnPla@mas.to
1	vkarhune@mstdn.social
10	amandaywise@sciences.social
207	ruboerner@mastodon.social
3	KarineCrozat@fediscience.org
5	wright_thoughts@mas.to
3	nadine@fediscience.org
8	psolisaqui@mastodon.social
59	AndrewPGrieve@mstdn.social
63	tuuli@mastodon.green
30	bernardharcourt@mastodon.green
80	davidcm@mastodon.social
73	J_A_Quent@fediscience.org
2	smbrnsn@mastodon.world
56	kkvk7@mstdn.social
132	georgierose@mstdn.social
515	deevybee@mastodon.social
22	daob@mastodon.social
2	mitjasienknecht@sciences.social
37	kristienhens@zirk.us
232	DebPearlstein@mstdn.social
407	mhermans@mastodon.social
6	NotThatKindOfDr@mstdn.social
89	simoesfili@mstdn.social
645	johnntowse@mstdn.social
1	jadekhalife@mas.to
699	vivek_mutalik@fediscience.org
12	lewysj@mstdn.social
2	angelettilab@fediscience.org
27	jreedy@mastodon.world
147	thefordon@mastodon.social
39	ma_delsuc@fediscience.org
1974	Transportist@mastodon.social
40	alfredospagna@mas.to
85	natilabadie@masto.ai
4	DovileRimkute@mastodon.social
24	gknies@mastodon.world
25	prof_ian_y@fediscience.org
5	AleaRuf@fediscience.org
4	snewgoblin@mstdn.social
1	pandainthewoods@mastodon.social
80	olsonk@mstdn.social
180	arche3000@mastodon.social
3	bennickl@mastodon.social
1	vincentc@mstdn.social
1237	BorisBarbour@mastodon.social
54	GRSchug@mas.to
2975	dambaras@zirk.us
20	NavinPokala@mastodon.social
21	MicheleNuijten@sciences.social
8	hamacleod@mastodon.scot
1	djkleine@mstdn.social
20	Thomas_Arnold@mastodon.social
20	peterrebeiro@mastodon.social
20	ianholmes@mastodon.social
20	mschock@mastodon.social
30	beapichel@mstdn.social
41	T_Weissgerber@fediscience.org
53	adrienneyong@mastodon.world
20	stuffysour@mastodon.social
20	cbahlai@mastodon.social
2	oneillm@mastodon.social
56	naejim@fediscience.org
81	pfallesen@sciences.social
8	KrFrandsenDK@mstdn.social
6	tomhargreaves@sciences.social
31	Scholey@fediscience.org
30	Maurice_vTgln@fediscience.org
20	ngoddard@mastodon.social
67	spmackinnon@fediscience.org
1	pdcole23@mastodon.world
3	andreasturm@mstdn.social
47	soenke_zaehle@mas.to
95	AJBarth@fediscience.org
33	sarahengler@sciences.social
90	annajfinley@fediscience.org
67	JWullweber@mastodon.world
20	behrler@mastodon.social
20	mishaahrens@mastodon.social
112	aechallu@fediscience.org
1	ptinnemann@mastodon.social
20	KathaDobs@mastodon.social
1	romainferon@mas.to
20	tfrissen@mastodon.social
1052	erazlogo@assemblag.es
1	JRPCFer@mstdn.social
4	GregDavis@fediscience.org
33	timfrye@mastodon.world
28	jurassicgirl@mstdn.social
104	vdignum@mastodon.social
1	nfdotti@masto.ai
579	alischinsky@sciences.social
3	KatharinaWillm@mas.to
57	chadbot@mas.to
11	dgrobinson@mastodon.social
4	alitvine@hcommons.social
301	BCarneyAlmroth@mastodon.social
16	AnneRasmussen@fediscience.org
545	mhendricks@fediscience.org
67	martinjung@fediscience.org
2	yuhkitajima@mstdn.social
73	ShropshireJD@fediscience.org
267	antsymbiosis@mas.to
226	sieverts@mastodon.social
3	alrababah@sciences.social
21	DJ_de_Koning@fediscience.org
18	tflangkaas@mas.to
9	DavidBerdik@mstdn.social
3	HongmeiLi@mas.to
271	CharlesO@mas.to
17	mattschap@fediscience.org
1501	gravin_petra@mastodon.social
120	hyoyoonkang@zirk.us
87	fdr@mas.to
3820	vicgrinberg@mastodon.social
53	mwyarbrough@mstdn.social
2	rakkerman@mas.to
668	mjb@sciences.social
20	mguindani@mastodon.social
81	silviahedley@mstdn.social
3	dylanbeaudette@mastodon.radio
3	kerrywalker@mastodon.social
2	pekkamertala@mas.to
2	leggo@mstdn.social
20	satuelisa@mastodon.social
7	simonmartin@mas.to
7	hugocyr@mstdn.social
20	paulasalgado@mastodon.social
9	davidkaufmann@sciences.social
20	ikepicone@sciences.social
20	anibalmastobiza@mastodon.social
85	annisch@sciences.social
18	visanju@mastodon.social
6	marijeterwal@fediscience.org
4	sinclair_allie@fediscience.org
312	bonstewart@mstdn.social
80	wandell@mas.to
20	sethkjolly@mastodon.social
22	konrad_rokicki@fediscience.org
291	barneyharris@sciences.social
17	petridou_ni@mas.to
20	rmforsyth@mastodon.social
1	DariaDergacheva@mastodon.world
1	Ben_Field@mas.to
15	TabeaScharrer@fediscience.org
20	RomanaCareja@fediscience.org
4	AngieMaxwell@mastodon.social
379	jan_vdbergh@mstdn.social
26	FredericMerand@sciences.social
20	Freddyvanderveen@mastodon.social
1	perezfelkner@mastodon.social
20	cwillmes@mastodon.social
35	Stancliffe@zirk.us
20	mikamckinnon@mastodon.social
19	milesmack@mastodon.scot
20	jaffe@mastodon.social
20	JudithSchomaker@mastodon.Social
2	davemurphy@mastodon.social
26	perayson@fediscience.org
32	pschmidtke@masto.ai
20	tkuhn@mastodon.social
12	sdanielak@sciences.social
158	hilarycbus@mstdn.social
12	edgriffen@fediscience.org
20	cornuta@mastodon.social
65	elilevensonfalk@mastodon.world
3	aditi@mastodon.world
20	clathrin@mastodon.social
20	JoseMarichal@mastodon.social
20	asveenstra@mastodon.social
20	RuthMalan@mastodon.social
20	dfornika@mastodon.social
20	rmflight@mastodon.social
5	mtaylor_soc@sciences.social
20	JimJohnsonSci@mastodon.social
23	JacquesBellon@hcommons.social
2	daniele_melati@fediscience.org
4	EllisAizenberg@fediscience.org
94	awiener@sciences.social
4	bettinanissen@mas.to
20	natalieharrower@mastodon.social
20	darrenprice@mastodon.social
193	jonathansterne@assemblag.es
9	saul_newman@sciences.social
13	florian_landis@mastodon.social
237	ProfMangen@sciences.social
20	eneswald@mastodon.social
45	tabeabork@mstdn.social
6	bendesky@mas.to
12	evertbosdriesz@mastodon.social
278	ecourtem@zirk.us
235	jacomyma@mas.to
20	adamgurri@mastodon.social
1	theoaraujo@mastodon.social
17	mattsweitzer@mstdn.social
29	AlbertNorstrm@fediscience.org
68	jdossgollin@fediscience.org
90	ChristophB@fediscience.org
105	lonaga@zirk.us
146	cedric_p@zirk.us
20	bruvellu@mastodon.social
131	purling4peas@mstdn.social
64	consequently@hcommons.social
20	carinavr@mastodon.social
19	KathrynBFrancis@mstdn.social
20	kaveh1000@mastodon.social
20	zpneal@mastodon.social
42	fe_loe@sciences.social
10	mjinpedersen@fediscience.org
57	alexdibella@fediscience.org
20	vidyasubramanian@mastodon.social
70	profamymcgovern@fediscience.org
17	leoimpett@mastodon.social
89	niels_schenk@mastodon.world
57	GeoRichard@fediscience.org
5	camillabfriis@sciences.social
3	arit@zirk.us
2	pgerak@mastodon.social
20	urbannature@mastodon.social
85	geomicroaaron@fediscience.org
20	zephoria@mastodon.social
9	gloinul@mastodon.social
1	mprice@mastodon.social
35	spatial_history@mstdn.social
323	indianaclimate@fediscience.org
4	EmanuelUbert@mstdn.social
20	annettemarkham@mastodon.social
20	douglarkin@mastodon.social
23	koszalkowska@mas.to
5	diazale@mastodon.social
1	TobiasHeld@mastodon.social
1031	cczymara@sciences.social
2	aadoherty@mstdn.social
101	LMeeks@mas.to
36	eejd@fediscience.org
1	lillianwilde@zirk.us
2	RebeccaLazarides@fediscience.org
31	robkowa@mastodon.world
22	gongcastro@fediscience.org
90	alexbfree@mastodon.social
455	kburke@mstdn.social
1	lesburg@mastodon.social
11	DavidBerron@mastodon.social
9	battalio@mastodon.world
42	scientiffic@mas.to
5	bklievink@mastodon.social
15	kmcmanus@sciences.social
69	piezimess@mastodon.social
9	badjoby@fediscience.org
24	rahulsiddharthan@fediscience.org
28	JGPharmD@mstdn.social
59	jakobgoldmann@mas.to
237	hpcprogrammer@mastodon.social
365	mizoraman@mastodon.social
86	JennyRohn@mstdn.social
717	dialect@mastodon.scot
9	dorrego@mastodon.social
16	syperng@mas.to
32	m__verbruggen@zirk.us
34	HarryHMarshall@fediscience.org
68	vigji@mastodon.social
16	lucabrb@mas.to
212	DrAnneCarpenter@fediscience.org
6	QuiGon_Singh@mastodon.social
1	Shardabapat@mastodon.social
8	adenaschachner@mstdn.social
17	veronicayan@mstdn.social
1	p_gordon_larsen@fediscience.org
157	rcourt@mastodon.social
15	amar@mastodon.world
3	karenmccullagh@mastodon.social
103	toddhorowitz@fediscience.org
3	kiararoth@fediscience.org
29	csissoko@mstdn.social
22	DirkBWalther@fediscience.org
1243	alheri@mastodon.world
10	monicarosenb@fediscience.org
15	theimbu@mas.to
104	debsethorpe@hcommons.social
20	fkraeutli@hcommons.social
3	Carsten@assemblag.es
51	citybeautiful@masto.ai
107	izarom@mas.to
80	loraxorg@mastodon.social
30	apvjustino@mastodon.social
26	yaksi_emre@mastodon.world
5	SomesOcean@mas.to
26	kwcooper@fediscience.org
179	chlef@fediscience.org
1234	kerim@zirk.us
193	fpianz@mstdn.social
28	jud1ths1mon@mastodon.social
3	alexcsiszar@fediscience.org
1	Fowlie@mas.to
11	psh@mas.to
3	linakrakau@mastodon.social
896	StephenBHeard@fediscience.org
112	dataandme@mstdn.social
91	tejaswinimishra@mastodon.social
52	felixthoemmes@fediscience.org
236	ankehildebrandt@social.anoxinon.de
10	jemp@assemblag.es
5	danieldamineli@fediscience.org
7	RuethMarco@fediscience.org
17	antoinezalc@mastodon.world
4	urtantan@mastodon.social
125	L_andreae@mastodon.social
3	kbeckerblease@fediscience.org
26	jn@fediscience.org
83	ingomar_gutmann@fediscience.org
2	axelstraube@mas.to
13	maritpetzka@fediscience.org
340	funambule@mastodon.social
2	vilmarine@mastodon.social
120	RARohde@fediscience.org
4	sandrajasper@assemblag.es
63	PaulEverill@mas.to
37	PrzemekTomalski@sciences.social
6	kmbivens@hcommons.social
59	thmosqueiro@mastodon.social
10	timlongman@mastodon.world
1312	peterroopnarine@masto.ai
2	benostendorf@fediscience.org
26	Ola_Michalec@masto.ai
18	Rita_Strack@fediscience.org
71	pfyfe@hcommons.social
31	jendykxhoorn@fediscience.org
710	davidbraze@mstdn.social
18	commfox@mastodon.social
6	rathmann@fediscience.org
7	dylanmuir@mastodon.social
113	hansijzerman@sciences.social
73	vhmdale@mastodon.scot
107	ArneM@mastodon.social
246	Alba@sciences.social
17	ekhtn@mstdn.social
450	ronpatz@mastodon.social
27	c_hertweck@mstdn.social
12	marinusferreira@fediscience.org
37	jjablair@mstdn.social
1	jakefisher@mastodon.social
36	blaisefrederick@fediscience.org
13	jverissimo@fediscience.org
8	heikekrieger@social.anoxinon.de
37	colombinary@mastodon.social
259	DrSarahHolstein@mastodon.social
187	sarahebull@mastodon.social
50	f2135@mastodon.social
1	dbkonrad@mas.to
4	VitZim@mastodon.green
15	laiacastro@sciences.social
41	fachreddin@fediscience.org
41	lessormore@mstdn.social
41	ChernoffProjects@mastodon.social
6	ProfScott@mstdn.social
640	eloraraymond@mastodon.social
