mastodon	twitter
@alexanderlasch@mastodon.social	@alexanderlasch
@ayliu@fosstodon.org	@alanyliu
@21c_aesthetics@mastodon.social	@_leftaesthetics
@folgertk@akademienl.social	FolgertK
"@jose_eduardo@mastodon.social
"	@jeduardogonz
@thw@mastodon.social	@ThWuebbena
@konrad@social.coop	@kmlawson
@dakolkman@mstdn.social	@dakolkman
@binarythis@mas.to	@binarythis 
@pence@scholar.social	@pencechp
@JenProf@mastodon.social	@JenProf
@essepuntato@scholar.social	essepuntato
@mikejones@mastodon.social	@MikeJonesPhD
@just_me_gi@mastodon.cloud 	@Just_me_gi
@anasalter@mastodon.social	anasalter
@jeremy@aus.social	@JeremyNeideck
@lizfischer@mstdn.social	@lizfischer0
@_JAStockdale@qoto.org	@_JAStockdale
@jogaorba@xarxa.cloud	jgob
@sioflynn@mastodon.cloud	@sioflynn
traviseross@fosstodon.org	traviseross
@anotherklokwerkparallel@lingo.lol	naea_stevens
walskaar@post.lurk.org	@Walskaar
@acevedo@dizl.de	@aceved0villalba
@thescont@mastodon.ie	@thescont
@AnujaCabraal@aus.social	@AnujaCabraal
@petamitchell@mastodon.online	@petamitchell
@jjsylvia@mastodon.social	@bigdataJJ
@grvsmth@toot.cat	@grvsmth
@mneme@glammr.us	@orientalhotel
@smusgrav@aus.social	@SimonMusgrave1
@marinat@mstdn.social	m.toumpouri
@awinkler@openbiblio.social	a_winkler3
@ottosmops@social.anoxinon.de	@AndreasKraenzle
@tillgrallert@digitalcourage.social	tillgrallert
@davidlassner@scholar.social	@davidlassner
@andreskarjus@mastodon.social	andreskarjus
@socalab@fediscience.org	Socalab
@mlvp71@FediScience.org	@MargoPoucke
@fuzzyleapfrog@chaos.social	@FuzzyLeapfrog
@aarbrk@mstdn.mx	@aarbrk
thist@mstdn.social	@thist_be
@Jason_Power@mastodon.social	@power_ul
@jolwalton@mastdn.social	jolwalton
@dibsroy86@mastodon.online	@dibsroy86
@jason_m_kelly@fediscience.org	@jason_m_kelly
Kita_jin@scholar.social	Kita_jin
@jblxdesign@c.im 	@jblxdesign
@DrewDGray@mastodon.social	@DrewDGray
@sramsay@hcommons.social	@sramsay_unl
@jerielizabeth@hcommons.social	@jerielizabeth
@FlintDibble@fediscience.org	@FlintDibble
@sarawasson@mstdn.social	@SaraWasson_1
@dta_cthomas@mstdn.social	@dta_cthomas
@markhenick@mstdn.social	@markhenick
@thiscompost@hcommons.social	thiscompost
@RPetitpierre@qoto.org	@RPetitpierre
@rebsim@mas.to	@rebsim
@mgavin@mstdn.social	Michael_A_Gavin
@ashleychampagne@mastodon.sdf.org	ashleymchamp
@kingsdh@hcommons.social	@kingsdh
@questoph@mastodon.social	@questoph
@telliott@scholar.social	paregorios
@krystalboehlert@glammr.us	@kboehlert
@textaural@hcommons.social	@textaural
@halperta@hcommons.social	@hralperta
@mwalfred@mastodon.sdf.org	Mwalfred
@drcweissenberg@mstdn.social 	@ DrCWeissenberg
@ManonNiquette@mstdn.science	@ManonNiquette
@rivaquiroga@mastodon.social	@rivaquiroga
@JoshBlack@mastodon.social	@jwilsonblack
@WhatTheDickens@mastodon.online	@WhatTheDickens
@ErikC@ausglam.space	@nzerik
@monrodriguez@mastodon.social	@monrodriguez
@StAndre@mas.to	@JamesStAndre
@cosima_wagner@openbiblio.social 	@WagnerCosima
@sghosh@mas.to	@Fataru_bole
@niccoloridi@mastodon.social	@niccoloridi
Vita@anthropologist@mastodon.social 	ansurnetwork
@pippich@toot.io	@wpippich
@r_antoniomg@glammr.us	@rantoniomg
@berenike@toot.io	BerenikeRe
@AlexaRenggli@openbiblio.social	@AlexaRenggli
@laurasdeluca@mstdn.social	@LauraSDeLuca
@skorinkin@hcommons.social	@danya_sko
@carwyn@fediscience.org	@carwyn
@wissen_ist_acht@social.linux.pizza	@wissen_ist_acht
@dh_potsdam@hcommons.social	@DH_Potsdam
@mkgold@hcommons.social	mkgold
@rlcaputi@mastodon.uno	@ross_caputi
@gusvelasco@vis.social	@velasgus
@maehr@mastodon.social	@moritzmaehr
@tamernawar@fediscience.org	@Tamer_Nawar
@Dr_ClaireH@eldritch.cafe	@Dr_ClaireH
gworthey@mstdn.social	gworthey
@PaulLev@mastodon.social	@PaulLev
@PietroGhezzi@mastodon.uno	@PietroGhezzi
@jbcamps@fediscience.org	@jbcamps
@fabienbp@sciences.re 	@fabienbp
@Cindy_Conaway@hcommons.social	@Cindy_Conaway
@dr_pda@hcommons.social	@dr_pda
Sesamescholar@mstdn.social	@Sesamescholar
tcarmody@mastodon.social	tcarmody
@gabrielhankins@hcommons.social	@gabrielhankins
@kiru@openbiblio.social	@kiru
@NbtKmy@fosstodon.org	@kamiyano
@markcmarino@mastodon.social	@markcmarino
@calvinball@ondergrond.org	@Jolanwuyts
@karenleick@mastodon.online	@KarenLeick
nickoal@mstdn.social	nickoaleichmann
@scrivenersjest@dreamers-guild.net	@textandhubris
@litlnemo@mastodonmusic.social	litlnemo
@plogan@hcommons.social	@pmlogan
@michelledalmau@hcommons.social	@mdalmau
@fredericofreitas@hcommons.social	@ffreff
@mattie@c18.masto.host	@mattie_burkert
@dxvidmr@hcommons.social	@dxvidmr
@emchateau@mamot.fr	emchateau
@marind@qoto.org	@marindacos
@marcorospocher@mastodon.uno	@marcorospocher
@merc3@chaos.social	@ChristianVater_
@yaeln@tooot.im	@yaelnetzer
@j_mieczni@101010.pl	@j_miecznikowski
@izarom@mas.to	@izaromanowska
@toroe@toot.io	@torstenroeder
@astridensslin@home.social	@AstridEnsslin
@vickstar79@mastodonapp.uk	@vickstar79
@EvelynGius@fedihum.org	@EvelynGius
@pfyfe@hcommons.social	@pfyfe
katethornhill@digipres.club	kate_thornhill
@hcayless@hcommons.social	hcayless
@PeterLeinen@social.anoxinon.de	@Peter_Leinen
@sjappleford@hcommons.social	@sjappleford
@runzinger@mastodon.social	@runzinger
@nllano@hcommons.social	@enetreseles
@SteffenEckhard@c.im	@seckhard
@gumarten@mastodon.social	@gumarten
@geoffreyrockwell@masto.ai	@GeoffRockwell
@ach@hcommons.social	@achdotorg
@JonathanReeve@hcommons.social	@j0_0n
@samplereality@post.lurk.org	@samplereality
@umblaetterer@chaos.social	umblaetterer
@demigrigo@qoto.org	demigrigo
@brimwats@scholar.social	@brimwats
@johnlaudun@zirk.us	@johnlaudun
@Nomad93@mastodon.lol	Nomad93
@nkelber@sigmoid.social	@nkelber
@shawnaross@hcommons.social	@ShawnaRoss
@foundhistory@hcommons.social	@foundhistory
@rolando@hcommons.social	bibliothicario
@dinara@qoto.org	dinaraamirovna
@KatherineBode@mastodon.social	@KatherineBode
@c18ah@hcommons.social	@C18AH
@archaeoklammt@mastodon.top	@archaeoklammt
@samuelvanransbeeck@mastodon.art	@thinksamuel
@fmadore@hcommons.social	@fmadore
@ak_blankenship@mastodon.lol	@ak_blankenship
@jlori@mastodon.cloud	@jlori
@benwbrum@hcommons.social	benwbrum
@thea@hcommons.social	@lutefisk812
@levato@zirk.us	_levato
@docum3nt@mastodon.ie	@docum3nt
@malterehbein@mastodon.bayern	@malterehbein
@bengrosser@mastodon.social	@bengrosser
@elnif@mastodon.social	@Elnif
@kathiberens@hcommons.org	@kathiiberens
@Moniquetschofen@mastodon.cloud	@moniquetschofen
@henrietteroued@mastodon.nu	Henrietteroued
@inactinique@mastodon.social	inactinique
@p_junginger@fedihum.org	@p_junginger
@NanetteRissler@fedihum.org	@NanetteRissler
@true_mxp@qoto.org	@true_mxp
@paigeroberts@mastodon.social	paige_roberts
@emilylynell@hcommons.social	@emilylynell
@scholarslab@hcommons.social	scholarslab
@story645@vis.social	@story645
@luiseborek@fedihum.org	@luiseborek
@codiceps@fedihum.org	@codicepsfungus
@estelleszmidt@zirk.us	@estelleszmidt
@kshpatel@mastodon.social	@kshpatel
@davidbeavan@fosstodon.org	@DavidBeavan
@uwuttke@fedihum.org	@uwuttke
@michael@hci.social	@michael_muller
@history_mk@mastodon.social	@MarioKliewer
@jamessmithies@hachyderm.io	@jamessmithies
@kmapesy@hcommons.social	@kmapesy
@paolomonella@scholar.social	@paolomonella
@TimChristiaens@zirk.us	@TimChristiaens5
@eduardsSK@fosstodon.org	@de_dedris
@leahcb@mastodon.social	@leahcb
@RainerMuehlhoff@chaos.social	@RainerMuehlhoff
@demigrigo@qoto.org	demigrigo
@nowviskie@glammr.us	@nowviskie
@BenGMartinHist@zirk.us	@BenGMartinHist
alicecorble@zirk.us	@DrAliceCorble 
@dialougue@tambayan.us	dialougue_
@Halperta@hcommons.social	@hralperta
@cmhenry_@mas.to	cmhenry_
unjapanologist@glammr.us	unjapanologist
@kaylendwyer@mastodon.online	@kaylen_dwyer
@bridgetbarrett@sciences.social	@bridgetobarrett
"
@erica_peaslee@mstdn.social"	@erica_peaslee
@nfitzger@glammr.us	@N_Fitzgerald
@kmcdono@mastodonapp.uk	@khetiwe24
ewg118@hcommons.social	@ewg118
@intransitive@mastodon.online	@intransitive
lunarbaedeker@mastodon.lol	lunarbaedeker
John@mastodon.cc	Jdmuccigrosso
@catherineomega@mastodon.social	catherineomega
@davidblowe@mastodon.social	@davidblowe
@amassaro@fosstodon.org 	@angelomassar0
@gerbenzaagsma@mastodon.green	@gerbenzaagsma
@kanarinka@mastodon.mit.edu	@kanarinka
@fotis_jannidis@toot.io	@fotisja
@DigitCurator@digipres.club 	@DigitCurator
@jrglmn@mastodon.social	@jrglmn
@cczymara@sciences.social	cczymara
@AriK@archaeo.social	@ArienneKing
kerithomas@toot.wales	@keri_thomas
@michaellapides@mstdn.social	@michael.lapides
@GrandjeanMartin@mathstodon.xyz	@GrandjeanMartin
@notesjor@det.social	@notesjor
@alizhorvathaliz@fedihum.org	@alizhorvathaliz
heatherfro@zirk.us	@heatherfro
@tristinbrynnhooker@assemblag.es	@tristinbrynn
@stradadoes@glammr.us	@stradadoes
@iconodule@hcommons.social	@iconodule
@conal@ausglam.space	@conal_tuohy
@johentsch@hostux.social	@johentsch
@msdixon@zirk.us	@msdixon
@dmaus@dmaus.name	@_dmaus
@gerstorfer@zirk.us	@gerstorfer
@hoytlong@sigmoid.social	@hoytlong
@JT_akaJesseThomas@mastodon.social	JT_JesseThomas
@ariannabetti@online.mastodon	@ariannabetti
@fraistat@zirk.us	@fraistat
@ManifoldScholar@hcommons.social	@ManifoldScholar
@marksouther@zirk.us	@marksouther
@hringler@zirk.us	@hannah_ringler
@wdeal@pkm.social	@wdeal
@anouk@fedihum.org	@a_e_lang
@gamingthepast@historians.social	@gamingthepast
@dambaras@zirk.us	@dambaras
@janhorstmann@fedihum.org	@janhorstmannn
@scdh@fedihum.org	@ULB_MS_SCDH
@elnif@mastodon.social	@elnif
@kyropoulos@mastodon.social	@kyropoulos
@melissaterras@scholar.social	@melissaterras
@EmMcG@mstdn.social	@EmMcGinn
@Anna_Ciaunica@toot.community	@AnnaCiaunica
@palermog@masto.ai	@gregory_palermo
@cliotex@fedihum.org	@cliotex
@mapto@qoto.org	@mapto
@mmaryl@hcommons.social	@maciejmaryl
@justcodeculture@mastodon.social	@justcodeculture
@anneladyem@mas.to	@anneladyem
@sourisnumerique@fedihum.org	sourisnumerique
@DerekKMiller@mstdn.social	@DerekKMiller
@rfensham@mastodon.au	@RachelFensham
@raffazizzi@hcommons.social	raffazizzi
@sigfridlundberg@mastodon.se	@sigfridlundberg
@Dagmar_Freist@historians.social	@dagmar_freist
kallewesterling@mastodon.online	@kallewesterling
@ApocalypsisNova@h-net.social	@ApocalypsisNova
@Nzagalo@hci.social	@nzagalo
https://mstdn.party/@Caseyj	@caseyj_edu
@wpkurtz@hcommons.social	@WendytheDH
@francescafrontini@fediscience.org	@f_frontini
"
@nabsiddiqui@h-net.social"	@nabsiddiqui
@proghist@hcommons.social	@ProgHist
@nabsiddiqui@h-net.social	@nabsiddiqui
@lizrodrigues@hcommons.social	@letsshall
@mandon@mastodon.cc	@awasielewski
@andreasvc@sigmoid.social	@andreasvc
@apdamegriff@scholar.social	@adamegriff
@stewartvarner@mastodon.social	@stewartvarner
@jodageiger@fedihum.org	@jodageiger
@sjhuskey@hcommons.social	@SamHuskey
@meDHieval@mstdn.social	@meDHieval
@mariinyrop@mastodon.social	@mariinyrop
@Readywriting@mastodon.social	@readywriting
@digitaldante@mastodon.social	@digitaldante
@dbamman@sigmoid.social	@dbamman
@sselisker@zirk.us	@sselisker
@storytracer@mastodon.social	@storytracer
"
@cjceglio@hcommons.social"	@cjceglio
@hmullphoto@mstdn.social	@hmullphoto
@mark_l_thompson@historians.social	@mark_l_thompson
@gvogeler@hcommons.social	@gvogeler
@jewonwoo@hcommons.social	@ClevelandKimchi
@dogantje@openbiblio.social	Swagunke
@estene@hcommons.social	@sheishistoric
@abasu@mas.to	@abasu_
@sparklebliss@mastodon.gamedev.place	@sparklebliss
@etreharne@mastodonapp.uk	@etreharne
@CordeliaBeattie@mstdn.social	@CordeliaBeattie
@Jim_Salmons@qoto.org	@Jim_Salmons
@jesperjuul@mstdn.social	jesperjuul
@sharonmleon@hcommons.social	@sharonmleon
@dario@vis.social	@dariorodighiero
@kgeographer@mas.to	@kgeographer
@CordeliaBeattie@historians.social	@CordeliaBeattie
@boulezian@wien.rocks	@boulezian
@hoyeolkim@hcommons.social	elibooklover
@vivalosburros@hachyderm.io	@vivalosburros
@ramyologist@sciences.social	@ramyologist
@CD_Clawson@hcommons.social	@CD_Clawson
@chavezheras@sigmoid.social	@dchavezheras
@mwind@fedihum.org	@OzzyH
@ericbrasiln@hcommons.social	@ericbrasiln
@stefan_hessbrueggen@fedihum,org	@frueheneuzeit
@sjhoover@mastodon.ie	@SarahJHoover
@mesinatra@hcommons.social	@mesinatra
@cprog7@fedihum.com	cprog7
@RSprugnoli@hcommons.social	@RSprugnoli
@foke	@bfiliks
@UrszulaDeger@mstdn.social	@UrszulaDeger
@BibWiss@mastodon.social	@BibWiss
@nika@climatejustice.social	ccpsychiatry
@MkeYoung@mastodon.world	@MikeYoung
@somethingmodern@mstdn.social	@somethingmodern
@setsukoyokoyama@mastodon.social	setsukoyokoyama
@broomgrass@c18.masto.host	broomgrass
@RuthFlaherty@techhub.social	@RuthFlahertyLaw
laurenfklein@mastodon.social	laurenfklein
@egrguric@mastodon.social	egrguric
@AMP_OeAW@fedihum.org	@AMP_OeAW
@lavanya@mstdn.social	@DahiyaLavanya
@uk_ie_dh@hcommons.social	@UKIE_DH
@jeddobson@sigmoid.social	jeddobson
@Carwil@mastodon.online	@CarwilBJ
@atmcgrath@hcommons.social	@alicetmcgrath
@jenniferisasi@hcommons.social	@jenniferisve
@jmotis@historians.social	@jotis13
@Djw0952@mastodon.social	@djw0952
@triproftri@hcommons.social	@triproftri
@datartisan@piaille.fr	@ringwald_c
CLSinfra	@CLSinfra
@clsinfra@fedihum.org	@clsinfra
mas.to@NicoleBlanchett	@NicoleBlanchett
@arturoviaggia@zirk.us	@arturoviaggia
@EMGrumbach@hcommons.social	@EMGrumbach
@terrainsvagues@zirk.us	@terrainsvagues
@SvenjaGuhr@fedihum.org	guhr_s
@SarahMiddle@hcommons.social	@digitalshrew
@aiucd@fedihum.org	@aiucd
NULab@hcommons.social	@NUlabTMN
@izadora@fedihum.org	@izaspimenta
@mguhlin@mastodon.education	mguhlin@pm.me
@schooldaves@mstdn.social	@schooldaves
@raphv@social.apreslanu.it	@raphv
@danwuori@mas.to	@danwuori
@RossA@mastodon.me.uk	@rossa
@Joeohara@fediscience.org	@joeoharadcu
@MrTomKoenig@mstdn.social	@goodcooltommy
@chrisbennett@mastodon.social	@chrisbennettedu
@rebeccanatow@mastodon.social	@rebeccanatow
@AlejandraPickett@mas.to	@alexpickett
@stephstephking@mstdn.social	@stephstephking
@physgal@mstdn.social	@SJDJ
@William_Rodick@mastodon.sdf.org	@William_Rodick
@arinbasu@qoto.org	@arinbasu
@mandaroza@qoto.org	@mymblemum
@WillyB@mas.to	@WillyB 
@juskhoo@mstdn.social	@juskhoo
@marinarobb@mastodon.org.uk	@marinarobb
@nicolabeer@toot.community	@nicola_beer
@guidingliteracy@mstdn.social 	@guidingliteracy
@Sheiseverywhere@mastodon.cloud	@FloraEllis
@hlseward@offworld.fedisonic.cloud	@hlseward
@AlexanderLester@fosstodon.org	MrAlexLester
@mraharrison@mstdn.social 	@mraharrisonCs 
@johnobriant@mastodon.social	@johnobriant
@teacherwriterPJ@mstdn.social	@teacherwriterPJ
@isafil@mastodon.top	@isafil
@charlaine@madtodon.scot	@Charlainesi
@Claireq@mstsn.social	Claire.q
@kevinmal@mastodon.online	@kmalandruccolo
@avocadonumber@mastodon.green	@avocadonumber
@DavidKnuffke@ecoevo.social	@davidknuffke
@jwreckchem@qoto.org	@JWreckChem
@GRSchug@mas.to	@GRSchug
@HulyaAvci@fediscience.org	@HulyaAvci
@BigMango@mastodon.social	@dallasfrosty
@k8martin@mastodonapp.uk 	@k8martin
@tonyvincent@mastodon.cloud	@tonyvincent
@mrstew@toot.community	Na
@Adaystar@bytetower.social	@angiebergeson
@erringreg@mastodon.online	@erringreg
@openedtech@openedtech.social	@openedtech
@moodler@mastodon.cloud	@moodler
@ADChill@Mastodon.me.uk	@adchillman
@job1986@eupublic.social	@benjitweets86
@otterlyelz@vis.social	@elizahilton2
@mathyourlife@mstdn.social	@mathyourlife (deleted)
@imsabbah@toot.site	@imsabbah
@pamlibrarianscholar.social/	@pamlibrarian
@teachpaperless@mastodon.nu	@pappersfriskola
@MrsDi@qoto.org	@MrsDi
@troypatterson@scholar.social	@smhearty
@dougholton@mastodon.social	@edtechdev
@Jason_Power@mastodon.social	@power_ul
@ejlev@fosstodon.org	@ericjlevitt
@rebeccatickell@qoto.org	@rebecca_tickell
@mrsmagic@mastodon.online	@Mrs_emma_magic
@idiosynchrone@mastodon.oeru.org	@idiosynchrone
@chescacampbell@mastodonapp.uk	@chescacampbell
@RonaGrant@mastodon.scot	@RonaGrant
@DrMMontgomery@hcommons.social	@DrMMontgomery
@stevefoerster@social.fossdle.org	@stevehfoerster
@hopkinsdavid@mastodon.world	@hopkinsdavid
@maria@lor.sh	@mariaworthen
@clintlalonde@mastodon.oeru.org	@edtechfactotum
@bjmacnevin@scholar.social	@bjmacnevin
@IleneF@mastodon.social	@ifrank
@anitsirk@cloudisland.nz	@anitsirk
@kellysmith@mastodon.oeru.org	@kelly_smith72
@stevechiger@mastodon.online	@stevechiger
@SteveECarson@mstdn.social	@SteveECarson
@xb7r@mastodon.social	@xb7r
@ton@scholar.social	@gotanda
@laurafo@sciences.social	@laurafo
@SR_Toliver@mastodon.online	SR_Toliver
@braunteaches@mastodon.online 	@braunteaches
@arosha@fediscience.org	@arosha
@sellisrev@masto.ai	@selllisrev
@stefaanvw@qoto.org	@stefaanvw
@TeaKayB@mathstodon.xyz	@TeaKayB
@jojophysicsgirl@mstdn.social	@jojophysicsgirl
@afreeparticle@mastodon.social	@a_freeparticle
@kristimeeuwse@mstdn.social	@kristimeeuwse
@peterrowlett@mathstodon.xyz	peterrowlett
@NuzhatUthmani@mastodon.scot	@NUthmani  and  @GCEducationScot 
@tie@mastodon.scot	@tiecampaign
@kathryn@fosstodon.org	@Kh_woodhead
@mathewoakes@hcommons.social	@mathew_oakes
@mr_d_clark@mastodon.scot	@mr_d_clark
@GrahamAttwell@mastodon.social	@grahamattwell
@plugusin@mindly.social	@plugusin
@PaolaCorti@mastodon.oeru.org	@paola5373
@mrscienceteach@mindly.social	@mrscienceteach
@kathryn@techhub.social	@kh_woodhead
@crash@is.aaronbsmith.com	@theartguy
@mostlyhopeful@toot.community	@AdriennePere
@TheJulianTSH@mastodonapp.uk	@TheJulianTSH
@timstahmer@mastodon.social	@timstahmer
@redasadki@techhub.social	@redasadki
@espo@mstdn.social	@EspoLearns
@DrPrestonGreen@mas.to	@DrPrestonGreen
@mikekav66@c.im	@mikekav66 
@philshapiro@mastodon.social	@philshapiro
@AmyRose@masto.ai	Twitter
@nothingfuture@mastodon.social	@nothingfuture
@bud_t@fosstodon.org	@Bud_T
@doctorpikajo@scicomm.xyz	@johannavarner
@stefanhansen@toot.community	@thestefanhansen
@techczyk@toot.community	@techczyk
@chrysalise@mastodon.lol	@chrysalise4003
@mattbarnardsays@hcommons.social	@mattbarnardsays
@breana@mstdn.social	@breana
@asatree@indieweb.social	Iâm not. Dropped out of Twitter long ago.
@AndyBurtEEX@mstdn.social	@AndyBurtEEX
@davidjoyner@fediscience.org	@DrDavidJoyner
@docbrown@ioc.exchange	@bbrownphd
@Mnjorgensen@mas.to	@Mnjorgensen
@shakespearenut@mastodon.nz	@shakespearenut
@schoolingdiana@mstdn.social	@schoolingdiana
@simon@simonlucas.social	@simonlucas
@buddyxo@mastodon.social	@buddyxo
@WhatTheTrigMath@mstn.social	@whatthetrigmath
@annacpage@mstdn.social	@annacpage
@davidlohner@bildung.social	@davidlohner
@EScetera@mastodon.online	@EScetera
@larryferlazzo@mas.to	@larryferlazzo
@ilanahorn@nerdculture.de	@ilanahorn
@tanyaavrith@mindly.social	@TanyaAvrith
@charlie3@mastodon.social	@charlie3
@tracyh@mastodon.nz	Twitter @tracicle
@sheuchert@mastodon.education	@sheuchert
@TPMay_Oly@mastodon.sdf.org	@TaniaMay_WA
@Ekinnajay@mastadon.social	@ekinnajay
@ericdano@indieweb.social	@ericdano
@danamhuff@mastodon.social	@danamhuff
@Drlangraad@mastodon.coffew	Drlangraad 
@mrcaffrey@mastodon.social	@MrCaffrey
@eyssette@scholar.social	@Cedric_Eyssette
@jschechter@mstdn.social	@jschechterlexny
@dani@mastodon.education	@mrsdavisbecker
@Vicki@mastodon.green	@WorkingVicki
@paszau@mastodon.online	@PaescuESE2012
@nboruett@mindly.social	@nboruett
@tamsyn@techhub.social	@TamsynMSmith
@SteveMcCarty@hcommons.social	Twitter (and Facebook) @waoesteve
@ThadHarroun@mastodon.education	@ThadHarroun
@paulkleiman@mastodon.online	@drpaulkleiman
@debkeys@mstdn.scot	@debkeys
@sbilodeau@mastodon.top	twitter/@smbilodeau
@Sam@orbiscogniti.com	@samjane52
@drmeghunter@sotl.social 	@drmeghunter
@alicebarr@techhub.social	@alicebarr
@alehik@fosstodon.org	@alehikko
@DrSuzanne@mastodon.social	@EdTech4Funky1s
@noisyastronomer@mastodon.social	@noisyastronomer
@damomurtagh@aus.social	@DamoMurtagh
@lynettephyfe@mastodon.online	@lynettephyfe
@AndyGreenPhD@infosec.exchange	@AndyGreenPhD
@jasongoroncy@scholar.social	@jasongoroncy
@docfleetwood@fosstodon.org	@docfleetwood
@TaraRana@mstdn.social	@tr2120
@dancallahan@union.place	@dancallahan
@kcollazo@qoto.org	@kcollazo
@esheninger@mastodon.social	@E_Sheninger
@jenwagner@madtodon.cloud	@jenwagner
@Sspellmancann@mastadon.sdf.org	@sspellmancann
@kristhurston@universeodon.com	@kristhurston
@aprilelah@c.im	@Aprilelah
@timolueke@scholar.social	@timolueke
@marcwitzel@sciences.social	@marcwitzel
@eighty4bravo@techhub.social	@Intl_ITDir
@flavioazevedo@mastodon.social	@flavio_azevedo_
@Techrankin@mastodon.education 	@techrankin
@matthewbarr@mastodon.social	@hatii_matt
@lrstull@techhub.social	@lisastull28
@talouis@techhub.social	@talouis
@BobMChem@mastodon.online 	@BobMChem
@insighteducat@mastodonapp.uk	@insighteducat
@MrD@qoto.org	@MrDeBoyace
@macannata@home.social	@macannata
@mathdenton@union.place	@mathdenton
@SuviJokila@edumasto.org	@SuviJokila 
@sstoneb@retro.pizza	@sstoneb, @bigsillychinook
@leeannjung@mastodon.world	@leeannjung
@krishagel@mastodon.online	@krishagel
@runningboard7@mastodon.social	@prof_bailey
@betthaeuser@sciences.social	@Betthaeuser
@jessegunnmath@union.place	jessegunnmath
@kjbd@sciences.social	@kjbd
@shawnaford@techhub.social	@shawnaford1
@mariadelcarmen@sfba.social	@CubanTeachrinTX
@thebethocracy@social.ridetrans.it	@thebethocracy
@DrDil@nerdculture.de	@DrDil
@brianirvine@mastodon.scot	@BigBadBee
@u2katrina@mastodon.cloud	@u2katrina
@seulbilee@mstdn.social	@seulblee
@purduesos@universeodon.com	@purduesos
@jengripman@sfba.social	@griomanjen
@BrentGWarner@mstdn.social	@BrentGWarner
@DrFarles@fediscience.org	@DrFarles
@leannemdavis@edumasto.org	@leannemdavis
@Armp71@mastodon.sdf.org	@armp71
@ishmamunoz@sciences.social	@ishmamunoz
@sanarizvi@mastodon.social	@DrSana_Rizvee
@DrNomyn@bne.social	@DrNomyn
@MichelleGrant@mstdn.social	@MichelleGrant
@PeterJWoods@mastodon.social	@peterjwoodsphd
@MrsMBowes@mastodon.world	@MrsMBowes
@donwatkins@fosstodon.org	@Don_Watkins
@kikielara@glasgow.social	@DrCSneddon
@rjmcdonald24@mstdn.party	@rjmcdonald24
@MrTChace@mstdn.social	@MrTChace
@vitoda@mastodon.social	@vitodabisch
@iainmacl@mastodon.ie	@iainmacl
@rabbit_fighter@mastodon.world	@rabbit_fighter
@libcolleen@mas.to	@libcolleen
@hoisa@mastodon.lol	@plouperofasol
@vonschwaben@bildung.social	@vonschwaben
@thomaswiz@mstsn.party	@thomaswhiz
@drntasler@scholar.social	@drntasler
@shropshireJD@fediscience.org	@Jedishropshire
@drdawes@scholar.social	@drdawes
@sbottasullivan@mindly.social 	@sbottasullivan 
@emc2andallthat@toot.wales	@emc2andallthat
@reviewsandreadathons@mastodon.lol	@reviewsandRaTs
@seanmunger@metalhead.club	@Sean_Munger
@zumbulka@toot.community	@zumbulka
@jnyrose@sotl.social	@jnyrose
@ericcurts@mastodon.world	@ericcurts
@mrswdigital@c.im	@mrswdigital
@tdaza@toot.community	University of Oregon
@MrBunchGovEcon@mastodon.education	@MrBunchGovEcon
@capt_canadia@qoto.org	@cpt_canadia
@KellyKinkaid@masto.ai	@kellyology
@Toriaclaire@mastodonapp.uk	@toriaclaire
@janellewilson@mastodon.education	@janellewilson
@moodlefairy@openedtech.social	@moodlefairy
@cindymcrae@mstdn.ca	@cindy.mcrae9
@danieltr@mstdn.social	@danieltr83
@aldtucker@mindly.social	@aldtucker
@happycampergirl@mstdn.ca	@happycampergirl
@gwaddell@sfba.social	@gwaddellnvhs
@NicoleBiscotti@mastodon.world	@BiscottiNicole
@ninawildflower@mastodonapp.uk	@ninawildflower
@imklg@faf.social	@learnertools
@jenniferbarnett@mastodon.social 	@jenniferbarnett
@Teacherpaz@mastodon.education	@pazjimenez
@randy@social.coop 	@randyhall
@Mbingley@mastodon.radio	Mbingley 
@sarahmiller1746@mstdn.ca	@SarahMiller1746
@simonmccloskey@mastodon.world	@SimonJMccloskey
@Olliefrith@mastodonapp.uk	@Olliefrith 
@Bobsonwong@mathstodon.xyz	@bobsonwong
@magistran@mastodon.world	@menain
@nworbdk@techhub.social	@nworbdk
@lewriley@mas.to	@LewRiley2
@jluss@mastodon.education	@jluss
@kathyschrock@techhub.social	@kathyschrock
@DanielleMcKernan@openedtech.social	@AcademyDanielle
@lesliecaine@mastodon.social	@lesliesbooknook
@skylarp@c.im	@SkylarPrimm
@northiemum@sfba.social	@northiemum
@kendrick_astrid@mstdn.ca	@kendrick_astrid
@nadagordon@mstdn.party	@nadagordon
@teovaldes@social.politicaconciencia.org	@_TeoValdes
@bcnjake@mas.to	@bcnjake
@LisaTeachesTech@sfba.social	@LisaTeachesTech
@RebeccaEE@universeodon.com	@RebeccaEE
@kpetersen@mstdn.ca	@KimDiane7
@adam@windbag.org	@adamrg
@accessrrisd@mastodon.world	@accessrrisd
@janetbell@mstdn.ca	@janetbell
@hilaryg@mastodonapp.uk	@sbl365
@sblconnect mastodonapp.uk	@sblconnect
@aordover@mas.to	@aordover
@judeenright@mastodon.world	@judeenright
@NervousNerd@mastodon.online 	@tricialbarton
@OliverSLT@mastodon.sdf.org	@OliverSlt 
